name,domain,org_type,ats_platform,careers_url,tenant,site,slug,wd_prefix,country
CDC Foundation,cdcfoundation.org,ngo,lever,https://www.cdcfoundation.org/jobs,,,cdcfoundation,,United States
Natural Resources Defense Council,nrdc.org,ngo,icims,https://www.nrdc.org/careers,,,,,United States
Partners in Health,pih.org,ngo,jobvite,https://www.pih.org/employment,,,,,United States
Rocky Mountain Institute,rmi.org,ngo,workday,https://rmi.org/about/careers/,rockymountain,RMI,,wd1,United States
Conservation International,conservation.org,ngo,taleo,https://www.conservation.org/conservation-international-jobs,,,,,United States
NPR,npr.org,ngo,greenhouse,https://www.npr.org/careers,,,nationalpublicradioinc,,United States
PBS,pbs.org,ngo,workday,https://www.pbs.org/about/careers/,vhr-pbs,PBSCareers,,wd5,United States
ProPublica,propublica.org,ngo,greenhouse,https://job-boards.greenhouse.io/propublica,,,propublica,,United States
MacArthur Foundation,macfound.org,ngo,workday,https://www.macfound.org/about/employment,macfound,MAC_FOUND_EXT_CAREERS,,wd1,United States
Open Society Foundations,opensocietyfoundations.org,ngo,workday,https://osfglobal.wd5.myworkdayjobs.com/en-US/OSF,osfglobal,OSF,,wd5,United States
American Enterprise Institute,aei.org,ngo,icims,https://www.aei.org/jobs/,,,,,United States
YMCA,ymca.net,ngo,icims,https://www.ymca.org/get-involved/careers,,,,,United States
Claremont Graduate University,cgu.edu,university,workday,https://www.cgu.edu/employment-opportunities/,theclaremontcolleges,CGU_Careers,,wd1,United States
Wilmington University,wilmu.edu,university,taleo,https://www.wilmu.edu/careers/,,,,,United States
Philadelphia College of Osteopathic Medicine,pcom.edu,university,workday,https://www.pcom.edu/about/departments/human-resources/career-opportunities/,pcom,External,,wd108,United States
Park University,park.edu,university,workday,https://www.park.edu/careers/,park,ParkUniversityCareers,,wd1,United States
California Baptist University,calbaptist.edu,university,bamboohr,https://calbaptist.edu/life-at-cbu/student-support-services/career-center/,,,foho,,United States
University of Mississippi Medical Center,umc.edu,university,workday,https://umc.edu/HR/Careers/Careers-Workday.html,ummc,UMCCareers,,wd5,United States
New Jersey City University,njcu.edu,university,taleo,https://www.njcu.edu/directories/offices-centers/human-resources/jobs-njcu,,,,,United States
Touro College,touro.edu,university,icims,https://www.touro.edu/careers/,,,,,United States
College of Southern Nevada,csn.edu,university,workday,https://www.csn.edu/about-us/careers,nshe,CSN-External,,wd1,United States
Columbus State University,columbusstate.edu,university,peoplesoft,https://careers.hprod.onehcm.usg.edu/psc/careers/?cmd=login&errorPg=ckreq&languageCd=ENG,,,,,United States
The College of New Jersey,tcnj.edu,university,taleo,https://careers.tcnj.edu/,,,,,United States
Abilene Christian University,acu.edu,university,workday,https://acu.wd108.myworkdayjobs.com/ACUCareers/,acu,ACUCareers,,wd108,United States
Adelphi University,adelphi.edu,university,taleo,https://www.adelphi.edu/hr/careers/,,,,,United States
Arkansas State University,astate.edu,university,taleo,https://www.astate.edu/jobs/,,,,,United States
Augsburg College,augsburg.edu,university,smartrecruiters,https://www.augsburg.edu/employment/,,,AugsburgUniversity-MinneapolisMN,,United States
Bates College,bates.edu,university,pageup,https://www.bates.edu/employment/opportunities/,,,,,United States
Berklee College of Music,berklee.edu,university,workday,https://www.berklee.edu/jobs,berklee,BerkleeCareers,,wd1,United States
Brown University,brown.edu,university,workday,https://www.brown.edu/careers,brown,staff-careers-brown,,wd5,United States
Bentley University,bentley.edu,university,workday,https://www.bentley.edu/offices/human-resources/careers,bentley,faculty,,wd503,United States
"California State University, Monterey Bay",csumb.edu,university,pageup,https://csumb.edu/hr/prospective-employees/,,,,,United States
"California State University, Northridge",csun.edu,university,pageup,https://w2.csun.edu/hr/careers,,,,,United States
Campbellsville College,campbellsville.edu,university,workday,https://www.campbellsville.edu/academics/academic-affairs/basc/career-services/employment-resources.html,campbellsville,CU,,wd1,United States
Carnegie Mellon University,cmu.edu,university,workday,https://www.cmu.edu/jobs/,cmu,CMU,,wd5,United States
Centre College,centre.edu,university,workday,https://centre.edu/about/employment-centre,centrecollege,CentreF,,wd501,United States
Chatham College,chatham.edu,university,workday,https://www.chatham.edu/work-at-chatham/,chatham,ChathamUniversity,,wd12,United States
"California State University, Long Beach",csulb.edu,university,pageup,https://careers.pageuppeople.com/873/lb/en-us/listing,,,,,United States
Colorado Mesa University,coloradomesa.edu,university,workday,https://www.coloradomesa.edu/jobs/,coloradomesa,CMUCareers,,wd501,United States
Colorado Christian University,ccu.edu,university,jobvite,https://www.ccu.edu/jobs/,,,,,United States
Coppin State University,coppin.edu,university,workday,https://marylandconnect.wd1.myworkdayjobs.com/CSU_Careers,marylandconnect,CSU_Careers,,wd1,United States
College of William and Mary,wm.edu,university,workday,https://www.wm.edu/offices/uhr/careers/,williammary,WM,,wd12,United States
Denison University,denison.edu,university,workday,https://denisonuniversity.wd12.myworkdayjobs.com/en-US/DU,denisonuniversity,DU,,wd12,United States
Embry-Riddle Aeronautical University,erau.edu,university,workday,https://erau.edu/careers,embryriddle,External,,wd1,United States
Florida Institute of Technology,fit.edu,university,workday,https://www.fit.edu/employment/,floridatech,FloridaTechCareers,,wd5,United States
Furman University,furman.edu,university,workday,https://www.furman.edu/offices-services/human-resources/employment/,furman,Furman_Careers,,wd115,United States
Goucher College,goucher.edu,university,workday,https://www.goucher.edu/human-resources/employment-opportunities,goucher,Goucher_Careers,,wd1,United States
Grand Valley State University,gvsu.edu,university,workday,https://www.gvsu.edu/hro/jobs-at-grand-valley-state-university-1194.htm,gvsu,careers,,wd1,United States
Harvey Mudd College,hmc.edu,university,workday,https://www.hmc.edu/human-resources/employment-at-harvey-mudd/,theclaremontcolleges,HMC_Careers,,wd1,United States
Howard University,howard.edu,university,workday,https://hr.howard.edu/careers,howard,HU,,wd1,United States
